TiO2_wt,TiO2_fine_frac,TiO2_fine_wt,TiO2_coarse_wt,ZrO2_wt,BaSO4_wt,SiO2_wt,Lime_wt,K_solar,K_vis,K_NIR1,K_NIR2,NIR2_NIR1,ZrO2_present,rank
25,0.6,15.0,10.0,0,20.0,5.0,50.0,10.046526873024959,10.420973142199303,10.82273118738545,4.936541295647789,0.4561271281875343,False,50
20,0.6,12.0,8.0,10,15.0,5.0,50.0,9.936175275584956,10.450351441952492,10.503586154400631,5.016186290909526,0.47756891952639635,True,51
30,0.4,12.0,18.0,0,15.0,5.0,50.0,9.842350572961504,10.038653737429046,10.286811111208365,6.892351412082212,0.6700182726765929,False,52
15,0.7,10.5,4.5,15,20.0,5.0,45.0,9.7452221239198,10.378798034308968,10.268568550838143,4.452432588240643,0.43359817546109924,True,53
25,0.6,15.0,10.0,0,15.0,5.0,55.0,9.731303326101996,10.094000830494936,10.483153166503273,4.781650548187194,0.45612712818753426,False,54
20,0.7,14.0,6.0,5,20.0,5.0,50.0,9.72567470560408,10.217025149099905,10.484048802535696,4.152906771630491,0.39611669593011234,True,55
20,0.4,8.0,12.0,15,15.0,5.0,45.0,9.723036725123254,10.189684346161998,9.93825661251763,6.438849219389335,0.6478851845382366,True,56
20,0.5,10.0,10.0,10,20.0,5.0,45.0,9.505395039112228,9.948615808712848,9.921926779489146,5.529989353317256,0.5573503490016665,True,57
25,0.4,10.0,15.0,5,20.0,5.0,45.0,9.460295964192484,9.73844399948246,9.814070711054468,6.503449270753947,0.662665825652604,True,58
15,0.7,10.5,4.5,15,15.0,5.0,50.0,9.421867621150573,10.034420960595194,9.927848982244827,4.304697204954687,0.43359817546109913,True,59
20,0.7,14.0,6.0,5,15.0,5.0,55.0,9.417985792245515,9.893791495801565,10.152367383889072,4.0215222239747765,0.39611669593011223,True,60
20,0.5,10.0,10.0,10,15.0,5.0,50.0,9.192719788127162,9.621361030542806,9.595549923686002,5.348083098829308,0.5573503490016666,True,61
