formula,n_particle,n_matrix,d_small,d_large,weight_small,weight_large,Q_solar_weighted,Q_NIR1,Q_NIR2,NIR2_NIR1_ratio,target_met
TiO2,2.8,1.63,400,1000,0.6,0.4,3.0079348992767208,3.128585032166469,2.205177338627148,0.7048481393200671,True
ZrO2,2.29,1.63,600,1400,0.6,0.4,2.8417918440719525,2.7559564096404983,1.9074057314501989,0.6921030117813115,True
BaSO4,1.678,1.63,1000,3000,0.6,0.4,0.4109456823672574,0.22041352381896318,0.06039020512329194,0.2739859336983945,False
