TiO2_wt,TiO2_fine_frac,ZrO2_wt,BaSO4_wt,SiO2_wt,Lime_wt,K_solar,eps_window,K_solar_norm,eps_window_norm,dual_obj,pareto_flag,row_rank
30,0.7,10,15.0,5.0,40.0,4.918851628700196,0.8853750127871035,1.0,0.9973929060071973,0.9986964530035987,False,1
30,0.7,5,20.0,5.0,40.0,4.713699017145588,0.8865510843749693,0.9582925798457517,0.9987177744999295,0.9785051771728406,False,2
30,0.7,5,15.0,5.0,45.0,4.555075629966144,0.8843959994531514,0.9260445270169331,0.9962900276335503,0.9611672773252418,False,3
30,0.7,0,25.0,5.0,40.0,4.511505097712663,0.8876893022344341,0.917186660274367,1.0,0.9585933301371835,True,4
30,0.6,10,15.0,5.0,40.0,4.522539883853652,0.8853750127871034,0.9194300266073955,0.9973929060071972,0.9584114663072963,False,5
25,0.7,15,15.0,5.0,40.0,4.366779191572216,0.8850626164538222,0.8877639581753628,0.997040985202818,0.9424024716890904,False,6
30,0.7,0,20.0,5.0,45.0,4.360744031921154,0.8856664927208082,0.8865370133299748,0.9977212640632999,0.9421291386966373,False,7
30,0.6,5,20.0,5.0,40.0,4.320265815131766,0.8865510843749693,0.8783078127268892,0.9987177744999295,0.9385127936134093,False,8
30,0.7,0,15.0,5.0,50.0,4.219733116876726,0.8832765099440932,0.857869567005376,0.9950288999999963,0.9264492335026862,False,9
30,0.6,5,15.0,5.0,45.0,4.174882074120923,0.8843959994531514,0.8487513731379073,0.9962900276335503,0.9225207003857288,False,10
25,0.7,10,20.0,5.0,40.0,4.163782062583064,0.8862686069734822,0.8464947465153246,0.9983995579789282,0.9224471522471265,False,11
30,0.6,0,25.0,5.0,40.0,4.120908924451208,0.8876893022344341,0.8377786596381148,1.0,0.9188893298190575,True,12
30,0.5,10,15.0,5.0,40.0,4.1262281390071065,0.8853750127871036,0.8388600532147907,0.9973929060071974,0.918126479610994,False,13
25,0.6,15,15.0,5.0,40.0,4.033452145783445,0.8850626164538222,0.8199987416268709,0.997040985202818,0.9085198634148445,False,14
25,0.7,10,15.0,5.0,45.0,4.022416311411015,0.884039869673951,0.8177551621889307,0.9958888402154932,0.9068220012022119,False,15
30,0.6,0,20.0,5.0,45.0,3.98320041963427,0.8856664927208081,0.8097825916100724,0.9977212640632998,0.9037519278366861,False,16
25,0.7,5,25.0,5.0,40.0,3.9637393337052003,0.8874349788724851,0.8058261628746497,0.999713499575461,0.9027698312250554,True,17
30,0.5,5,20.0,5.0,40.0,3.926832613117943,0.8865510843749692,0.7983230456080267,0.9987177744999294,0.8985204100539781,False,18
30,0.6,0,15.0,5.0,50.0,3.8543979189906983,0.883276509944093,0.7835971096386213,0.9950288999999961,0.8893130048193088,False,19
