TiO2_wt,TiO2_fine_frac,ZrO2_wt,CaSO4_wt,SiO2_wt,Lime_wt,K_solar,eps_window,dual_obj,pareto_flag,eps_flag,row_rank
10,0.4,15,15.0,5.0,55.0,1.4342345569826422,0.899829202040755,0.6466725988132597,False,False,171
15,0.4,0,20.0,5.0,60.0,1.387066754337432,0.9064976087854992,0.6452717710803854,False,False,172
10,0.5,10,20.0,5.0,55.0,1.3701741772093017,0.9061985740369586,0.6432978254025794,False,False,173
10,0.7,5,15.0,5.0,65.0,1.3800370189551614,0.8997996696430145,0.6408489142791675,False,False,174
10,0.6,5,25.0,5.0,55.0,1.3088329509684056,0.9118080542363305,0.6397981004946576,False,False,175
15,0.4,0,15.0,5.0,65.0,1.3679973895498658,0.8998052810654692,0.6395618893365067,False,False,176
10,0.5,10,15.0,5.0,60.0,1.3505181847178243,0.8998156108566684,0.6376945749986958,False,False,177
10,0.4,10,25.0,5.0,50.0,1.275823767570202,0.9110882553471917,0.6358666661339206,False,False,178
10,0.6,5,20.0,5.0,60.0,1.2904498293819446,0.9066582132332367,0.6350068325793702,False,False,179
10,0.7,0,25.0,5.0,60.0,1.2328438417800336,0.9126277928692297,0.6321046420566793,False,False,180
10,0.4,10,20.0,5.0,55.0,1.25725490809124,0.9061985740369586,0.6311980288812249,False,False,181
10,0.6,5,15.0,5.0,65.0,1.2725759529233134,0.8997996696430147,0.6293339882341387,False,False,182
10,0.5,5,25.0,5.0,55.0,1.198310208616107,0.9118080542363305,0.6279551023607722,False,False,183
10,0.7,0,20.0,5.0,65.0,1.2161131055133902,0.9071914787022012,0.6273334848824109,False,False,184
10,0.4,10,15.0,5.0,60.0,1.2392188120646401,0.8998156108566684,0.625768357510962,False,False,185
10,0.5,5,20.0,5.0,60.0,1.181479426470083,0.9066582132332367,0.6233301744466916,False,False,186
10,0.7,0,15.0,5.0,70.0,1.1998303897826026,0.89978071120863,0.6215285943406141,False,False,187
10,0.6,0,25.0,5.0,60.0,1.1261069377095108,0.9126277928692299,0.6206673131520586,False,False,188
10,0.5,5,15.0,5.0,65.0,1.1651148868914656,0.8997996696430145,0.6178190621891095,False,False,189
10,0.4,5,25.0,5.0,55.0,1.0877874662638085,0.9118080542363305,0.6161121042268869,False,False,190
10,0.6,0,20.0,5.0,65.0,1.1108247117337924,0.9071914787022012,0.6160513702287871,False,False,191
10,0.4,5,20.0,5.0,60.0,1.0725090235582213,0.9066582132332367,0.6116535163140129,False,False,192
10,0.6,0,15.0,5.0,70.0,1.0959517176628504,0.8997807112086299,0.6103975375655002,False,False,193
10,0.5,0,25.0,5.0,60.0,1.019370033638988,0.9126277928692299,0.6092299842474378,False,False,194
10,0.4,5,15.0,5.0,65.0,1.0576538208596178,0.8997996696430147,0.6063041361440807,False,False,195
10,0.5,0,20.0,5.0,65.0,1.0055363179541945,0.9071914787022012,0.6047692555751631,False,False,196
10,0.5,0,15.0,5.0,70.0,0.9920730455430983,0.8997807112086299,0.5992664807903864,False,False,197
10,0.4,0,25.0,5.0,60.0,0.912633129568465,0.9126277928692299,0.5977926553428169,False,False,198
10,0.4,0,20.0,5.0,65.0,0.9002479241745969,0.9071914787022012,0.5934871409215393,False,False,199
10,0.4,0,15.0,5.0,70.0,0.8881943734233462,0.8997807112086299,0.5881354240152725,False,False,200
