formulation,TiO2_wt,TiO2_fine_frac,ZrO2_wt,BaSO4_wt,SiO2_wt,Lime_wt,R_solar,R_vis,R_NIR1,R_NIR2,delta_R_vs_lime,gap_to_purdue
ELW-1,30,0.7,10,15,5,40,0.9879058896760153,0.9893450894997234,0.9887738072706731,0.9775032391403733,0.3379058896760153,-0.006905889676015353
ELW-2,30,0.7,5,20,5,40,0.9874166662021109,0.9889370379276333,0.988353132361638,0.9763496943446092,0.33741666620211086,-0.006416666202110899
ELW-3,30,0.6,10,15,5,40,0.9872134724092025,0.9883945524490224,0.9880112303718174,0.9783209484059671,0.3372134724092025,-0.006213472409202558
ELW-4,25,0.7,15,15,5,40,0.9866115479026217,0.9881898363873336,0.9875305304792283,0.9753333014678539,0.3366115479026217,-0.00561154790262175
ELW-5,30,0.5,10,15,5,40,0.9863480978016433,0.9872272699412057,0.9871100209985201,0.9790424597861092,0.3363480978016433,-0.005348097801643359
ELW-C,30,0.7,0,20,5,45,0.9864841160275662,0.9881469475162448,0.9875315553479055,0.9742880717584501,0.3364841160275662,-0.005484116027566266
