wavelength_nm,R_Optimal,R_TiO2-only_control,R_Plain_lime,R_Purdue_benchmark
300.0,0.09688862454581801,0.0894579642413958,0.05957167881199605,0.93
305.0,0.09688862454581801,0.0894579642413958,0.05957167881199605,0.93
310.0,0.09688862454581801,0.0894579642413958,0.05957167881199605,0.93
315.0,0.09688862454581801,0.0894579642413958,0.05957167881199605,0.93
320.0,0.09688862454581801,0.0894579642413958,0.05957167881199605,0.93
325.0,0.09688862454581801,0.0894579642413958,0.05957167881199605,0.93
330.0,0.09688862454581801,0.0894579642413958,0.05957167881199605,0.93
335.0,0.09688862454581801,0.0894579642413958,0.05957167881199605,0.93
340.0,0.09688862454581801,0.0894579642413958,0.05957167881199605,0.93
345.0,0.09688862454581801,0.0894579642413958,0.05957167881199605,0.93
350.0,0.09688862454581801,0.0894579642413958,0.05957167881199605,0.93
355.0,0.09688862454581801,0.0894579642413958,0.05957167881199605,0.93
360.0,0.09688862454581801,0.0894579642413958,0.05957167881199605,0.93
365.0,0.09688862454581801,0.0894579642413958,0.05957167881199605,0.93
370.0,0.09688862454581801,0.0894579642413958,0.05957167881199605,0.93
375.0,0.09688862454581801,0.0894579642413958,0.05957167881199605,0.93
380.0,0.09688862454581801,0.0894579642413958,0.05957167881199605,0.93
385.0,0.09688862454581801,0.0894579642413958,0.05957167881199605,0.93
390.0,0.09688862454581801,0.0894579642413958,0.05957167881199605,0.93
395.0,0.09688862454581801,0.0894579642413958,0.05957167881199605,0.93
400.0,0.09688862454581801,0.0894579642413958,0.05957167881199605,0.981
405.0,0.09688862454581801,0.0894579642413958,0.05957167881199605,0.981
410.0,0.09688862454581801,0.0894579642413958,0.05957167881199605,0.981
415.0,0.09688862454581801,0.0894579642413958,0.05957167881199605,0.981
420.0,0.09688862454581801,0.0894579642413958,0.05957167881199605,0.981
425.0,0.09688862454581801,0.0894579642413958,0.05957167881199605,0.981
430.0,0.09688862454581801,0.0894579642413958,0.05957167881199605,0.981
435.0,0.09688862454581801,0.0894579642413958,0.05957167881199605,0.981
440.0,0.09688862454581801,0.0894579642413958,0.05957167881199605,0.981
445.0,0.09688862454581801,0.0894579642413958,0.05957167881199605,0.981
450.0,0.09688862454581801,0.0894579642413958,0.05957167881199605,0.981
455.0,0.09688862454581801,0.0894579642413958,0.05957167881199605,0.981
460.0,0.09688862454581801,0.0894579642413958,0.05957167881199605,0.981
465.0,0.09688862454581801,0.0894579642413958,0.05957167881199605,0.981
470.0,0.09688862454581801,0.0894579642413958,0.05957167881199605,0.981
475.0,0.09688862454581801,0.0894579642413958,0.05957167881199605,0.981
