wavenumber_cm-1,wavelength_um,n_BaSO4,k_BaSO4,emissivity_BaSO4,n_SiO2,k_SiO2,emissivity_SiO2,n_coating,k_coating,emissivity_coating,planck_300K_norm
500.0,20.0,1.7665588262150387,0.005087691669900067,0.9232234097974501,0.8471456225016394,0.16830295028170567,0.9849749289399135,1.8663266153977205,0.009542596889859754,0.9086392117789686,0.9699971176988902
500.50015629884336,19.98001374055337,1.767066970872037,0.005135349253639923,0.9231497660809386,0.8616735741758407,0.16135019806133316,0.9870647575594497,1.8672121163552065,0.009257560041186174,0.9085095026737973,0.9703475022585568
501.0003125976868,19.960067386285644,1.7675798520056614,0.005183961539204447,0.9230754264594889,0.8757393095325838,0.15487859464699352,0.9888696190473525,1.868073725900139,0.008987586883252378,0.9083832486509938,0.9706957178436567
501.50046889653015,19.94016081780216,1.7680975637193577,0.005233552220083253,0.9230003770349713,0.8893603132534222,0.1488428125075252,0.990424028936314,1.8689125577117387,0.0087316518633148,0.9082602916610374,0.9710417660740241
502.0006251953736,19.92029391618407,1.7686202024256694,0.005284145768118036,0.922924603565117,0.902554364676445,0.14320269733481814,0.9917580082101606,1.8697296627636577,0.008488816532037534,0.9081404822344747,0.9713856485782213
502.50078149421694,19.900466562986004,1.7691478669208456,0.0053357674634487,0.922848091452316,0.9153391900030967,0.1379226177811778,0.9928976899195215,1.8705260333706946,0.00825822090436281,0.9080236789676105,0.9717273669935003
503.00093779306036,19.88067864023367,1.7696806584622946,0.005388443426469917,0.9227708257319831,0.9277322188654781,0.1329708947803455,0.9938658497900009,1.8713026069854246,0.008039075796701944,0.9079097480336542,0.9720669229657688
503.5010940919037,19.860930030421557,1.7702186808489948,0.0054422006504693445,0.9226927910604751,0.9397504182193328,0.1283193039066543,0.994682366436161,1.872060269753034,0.007830656017589336,0.9077985627198462,0.9724043181495499
504.0012503907471,19.841220616510576,1.7707620405050184,0.005497067036569135,0.9226139717025356,0.9514101832138047,0.12394264314804483,0.9953646183080552,1.8727998598345856,0.007632294306627508,0.9076900029905025,0.9727395542079502
504.5014066895905,19.82155028192577,1.7713108465662983,0.0055530714299250996,0.9225343515182483,0.9627272697932086,0.11981835834134821,0.9959278248691411,1.873522170510111,0.007443375929901484,0.9075839550755178,0.9730726328126187
505.0015629884339,19.801918910554008,1.7718652109708024,0.005610243657778808,0.9224539139494714,0.9737167576485244,0.11592621890645019,0.9963853392461298,1.8742279530735517,0.007263333852796114,0.9074803110835715,0.9734035556437116
505.5017192872773,19.782326386741698,1.7724252485522634,0.005668614569435669,0.9223726420057334,0.9843930350423775,0.11224803715481417,0.9967488990151739,1.8749179195318018,0.007091644421616464,0.9073789686390905,0.9737323243898572
