formula,d_small,d_large,weight_small,weight_large,Q_solar_weighted,Q_NIR1,Q_NIR2,NIR2_NIR1_ratio
TiO2,400,1000,0.6,0.4,3.007157283470239,3.2935033868787555,2.2667932599384506,0.688262009679208
ZrO2,500,1000,0.6,0.4,2.983117380169398,3.181696334468185,1.9599508958870573,0.6160081572381293
BaSO4,1000,3000,0.6,0.4,1.77332437543105,1.6708196475352215,0.7134663810378791,0.42701579556499614
